channel,phase,n_events,n_spikes_total,baseline_rate_mean_hz,response_rate_mean_hz,delta_rate_mean_hz,delta_rate_median_hz,wilcoxon_p,class
19,free,88,584,0.25,0.45454545454545453,0.20454545454545456,0.0,0.07315200495840675,neutral
19,all,144,584,0.3194444444444444,0.4444444444444444,0.125,0.0,0.3427095267829836,neutral
20,rating,56,2194,1.4642857142857142,1.4821428571428572,0.017857142857142856,0.0,0.7605594703999834,neutral
20,free,88,2194,1.5227272727272727,1.4659090909090908,-0.056818181818181816,0.0,0.9952467453693733,neutral
20,all,144,2194,1.5,1.4722222222222223,-0.027777777777777776,0.0,0.8261218400064856,neutral
21,rating,56,67,0.07142857142857142,0.07142857142857142,0.0,0.0,0.9138785990313087,neutral
21,free,88,67,0.0,0.03409090909090909,0.03409090909090909,0.0,0.08326451666355039,neutral
21,all,144,67,0.027777777777777776,0.04861111111111111,0.020833333333333332,0.0,0.49219011763337894,neutral
22,rating,56,1472,1.1071428571428572,1.1964285714285714,0.08928571428571429,0.0,0.6509974526883244,neutral
22,free,88,1472,0.8863636363636364,1.1022727272727273,0.2159090909090909,0.0,0.19298940043430812,neutral
22,all,144,1472,0.9722222222222222,1.1388888888888888,0.16666666666666666,0.0,0.2131265952474386,neutral
23,rating,56,408,0.21428571428571427,0.26785714285714285,0.05357142857142857,0.0,0.7494891847934775,neutral
23,free,88,408,0.18181818181818182,0.25,0.06818181818181818,0.0,0.7226930586724964,neutral
23,all,144,408,0.19444444444444445,0.2569444444444444,0.0625,0.0,0.6597738265121739,neutral
24,rating,56,301,0.17857142857142858,0.07142857142857142,-0.10714285714285714,0.0,0.1281465612656797,neutral
24,free,88,301,0.25,0.20454545454545456,-0.045454545454545456,0.0,0.4132106184926828,neutral
24,all,144,301,0.2222222222222222,0.1527777777777778,-0.06944444444444445,0.0,0.1136237677982293,neutral
25,rating,56,19,0.03571428571428571,0.017857142857142856,-0.017857142857142856,0.0,0.6547208460185769,neutral
25,free,88,19,0.0,0.022727272727272728,0.022727272727272728,0.0,0.15729920705028505,neutral
25,all,144,19,0.013888888888888888,0.020833333333333332,0.006944444444444444,0.0,0.7054569861112734,neutral
26,rating,56,458,0.17857142857142858,0.2857142857142857,0.10714285714285714,0.0,0.4828996977801916,neutral
26,free,88,458,0.25,0.3181818181818182,0.06818181818181818,0.0,0.6820217718290198,neutral
26,all,144,458,0.2222222222222222,0.3055555555555556,0.08333333333333333,0.0,0.47237882635528317,neutral
27,rating,56,1012,0.9285714285714286,0.7321428571428571,-0.19642857142857142,0.0,0.3142868174851541,neutral
27,free,88,1012,0.8863636363636364,0.9431818181818182,0.056818181818181816,0.0,0.7731180730757452,neutral
27,all,144,1012,0.9027777777777778,0.8611111111111112,-0.041666666666666664,0.0,0.6957066606181365,neutral
28,rating,56,62,0.03571428571428571,0.08928571428571429,0.05357142857142857,0.0,0.40762594770278093,neutral
28,free,88,62,0.022727272727272728,0.022727272727272728,0.0,0.0,1.0,neutral
28,all,144,62,0.027777777777777776,0.04861111111111111,0.020833333333333332,0.0,0.5637028616507731,neutral
29,rating,56,271,0.07142857142857142,0.2857142857142857,0.21428571428571427,0.0,0.008237647534476743,neutral
29,free,88,271,0.11363636363636363,0.10227272727272728,-0.011363636363636364,0.0,0.9710067758791642,neutral
29,all,144,271,0.09722222222222222,0.1736111111111111,0.0763888888888889,0.0,0.0923358926817188,neutral
30,rating,56,127,0.17857142857142858,0.07142857142857142,-0.10714285714285714,0.0,0.25430596599062305,neutral
30,free,88,127,0.13636363636363635,0.07954545454545454,-0.056818181818181816,0.0,0.2716850961081695,neutral
30,all,144,127,0.1527777777777778,0.0763888888888889,-0.0763888888888889,0.0,0.09857488528517955,neutral
31,rating,56,9508,7.357142857142857,7.25,-0.10714285714285714,0.0,0.8029260182281484,neutral
31,free,88,9508,7.136363636363637,6.5,-0.6363636363636364,0.0,0.2819239383391864,neutral
31,all,144,9508,7.222222222222222,6.791666666666667,-0.4305555555555556,0.0,0.29795967761702025,neutral
32,rating,56,1,0.0,0.0,0.0,0.0,1.0,neutral
32,free,88,1,0.0,0.0,0.0,0.0,1.0,neutral
32,all,144,1,0.0,0.0,0.0,0.0,1.0,neutral
33,rating,56,639,0.35714285714285715,0.5178571428571429,0.16071428571428573,0.0,0.33129854004260384,neutral
33,free,88,639,0.6590909090909091,0.375,-0.2840909090909091,0.0,0.01906155379700978,neutral
