region,time_s,like_mean_hz,like_std_hz,dislike_mean_hz,dislike_std_hz,diff_mean_hz,p_raw,p_fdr
overall,1.0550000000000015,0.850716480356398,1.486099346139061,0.7885101864134783,1.5724359482073156,0.06220629394291961,0.3755782951096238,0.6475487846717652
overall,1.0650000000000013,0.8507595057277434,1.5156402540185692,0.7774464983251961,1.5495772919056996,0.07331300740254708,0.42196608285386583,0.6552268367296054
overall,1.0750000000000015,0.8521230015549047,1.5531479547095344,0.7668093267048215,1.5324739762381039,0.0853136748500835,0.4094443382546161,0.6552268367296054
overall,1.0850000000000013,0.8542005388459715,1.5958887716102943,0.757178556750857,1.5234127904093173,0.09702198209511441,0.33908368664114874,0.6279327530391643
overall,1.0950000000000015,0.856216094242034,1.6405419139954478,0.7491945225563656,1.5239128895495735,0.10702157168566849,0.24020024129253248,0.5466244591689514
overall,1.1050000000000013,0.8573369375883512,1.6835719901354635,0.743450113233806,1.534487905452154,0.11388682435454525,0.19543532019049437,0.5113287751159371
overall,1.1150000000000015,0.8568832044998775,1.7220923786008362,0.7402933869911262,1.5543620235799416,0.11658981750875093,0.1539341923839376,0.5113287751159371
overall,1.1250000000000013,0.8544495201979965,1.7542629044608584,0.7398653881965114,1.5817457865700983,0.1145841320014853,0.1539341923839376,0.5113287751159371
overall,1.1350000000000016,0.8500130281900231,1.7796668769535988,0.7419582358213399,1.6138033803048872,0.10805479236868357,0.17724264167439163,0.5113287751159371
overall,1.1450000000000014,0.8438330606997255,1.7990525200635263,0.746141404813667,1.6472224873142187,0.09769165588605855,0.21095078948514656,0.5361032281729162
overall,1.1550000000000016,0.8364475284186684,1.8140995563266633,0.75175235969212,1.6784607993246916,0.08469516872654856,0.2917462458559107,0.5788615989204576
overall,1.1650000000000014,0.8285555447303721,1.8268109569079267,0.7580749049917752,1.7043772685776444,0.0704806397385967,0.3850838953871788,0.6552268367296054
overall,1.1750000000000016,0.8208040423395792,1.8385225635042552,0.7644816580759682,1.7228464076620078,0.05632238426361093,0.537047672044634,0.7023053297682624
overall,1.1850000000000014,0.8137098636085716,1.8492902544569263,0.7704967351809776,1.7328453881803996,0.043213128427594144,0.7143650608485943,0.8154852292792173
overall,1.1950000000000016,0.8075761910369416,1.8576681902420369,0.7759130211872605,1.7348513085578587,0.03166316984968139,0.9173351688787166,0.9437604618093792
overall,1.2050000000000014,0.8025252537985934,1.8609266131787146,0.7807803334447976,1.730612947191414,0.02174492035379589,0.7889520689699113,0.8671156823844938
overall,1.2150000000000016,0.7985147670034043,1.8559447493156374,0.785397482068003,1.7228328449584147,0.013117284935401636,0.6346061151647244,0.7554834704341957
overall,1.2250000000000014,0.7954383391138568,1.8403314556706676,0.7901831890552684,1.7146376842393922,0.005255150058588426,0.42196608285386583,0.6552268367296054
overall,1.2350000000000017,0.7931646418520052,1.813095400371967,0.7956464877379693,1.7089528237086304,-0.002481845885964064,0.29677548517842967,0.5842037109811608
overall,1.2450000000000014,0.7915439521810586,1.7752446094143086,0.802182298493867,1.70783777321025,-0.010638346312808524,0.24728296354478918,0.5470862025327194
overall,1.2550000000000017,0.7904498619655925,1.7295465116681967,0.8101002848732096,1.7122083041259635,-0.019650422907616826,0.19621011850107473,0.5113287751159371
