Channel	SCS	MNI	World	ASEG	ASEG_prob	DKT	DKT_prob	Desikan-Killiany	Desikan-Killiany_prob	Destrieux	Destrieux_prob	mid_277045V:DKT	mid_277045V:Destrieux	mid_277045V:Desikan-Killiany	mid_277045V:Brodmann	mid_277045V:Brodmann-thresh	mid_277045V:vcAtlas	mid_15002V:DKT	mid_15002V:Destrieux	mid_15002V:Desikan-Killiany	mid_15002V:Brodmann	mid_15002V:Brodmann-thresh	mid_15002V:vcAtlas	cortex_277045V:DKT	cortex_277045V:Destrieux	cortex_277045V:Desikan-Killiany	cortex_277045V:Brodmann	cortex_277045V:Brodmann-thresh	cortex_277045V:vcAtlas	cortex_15002V:DKT	cortex_15002V:Destrieux	cortex_15002V:Desikan-Killiany	cortex_15002V:Brodmann	cortex_15002V:Brodmann-thresh	cortex_15002V:vcAtlas	cortex_cereb_17005V:DKT	cortex_cereb_17005V:Destrieux	cortex_cereb_17005V:Desikan-Killiany	cortex_cereb_17005V:Brodmann	cortex_cereb_17005V:Brodmann-thresh	cortex_cereb_17005V:vcAtlas	white_277045V:DKT	white_277045V:Destrieux	white_277045V:Desikan-Killiany	white_277045V:Brodmann	white_277045V:Brodmann-thresh	white_277045V:vcAtlas	white_15003V:DKT	white_15003V:Destrieux	white_15003V:Desikan-Killiany	white_15003V:Brodmann	white_15003V:Brodmann-thresh	white_15003V:vcAtlas
I-PCC12	[-26.105,37.232,62.037]	[-38.068,-46.794,23.194]	[-41.556,-6.915,21.595]	Cortex L	58%	Inferior parietal L	57%	Inferior parietal L	58%	S_temporal_sup L	58%	inferiorparietal L	S_temporal_sup L	inferiorparietal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inferiorparietal L	S_temporal_sup L	inferiorparietal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	inferiorparietal L	S_temporal_sup L	inferiorparietal L	N/A	N/A	N/A	inferiorparietal L	S_temporal_sup L	inferiorparietal L	N/A	N/A	N/A
I-PCC13	[-26.340,40.669,62.654]	[-41.611,-47.063,23.903]	[-44.976,-7.361,22.190]	Cortex L	57%	Inferior parietal L	52%	Inferior parietal L	57%	S_temporal_sup L	57%	inferiorparietal L	S_temporal_sup L	inferiorparietal L	N/A	N/A	N/A	inferiorparietal L	S_temporal_sup L	inferiorparietal L	N/A	N/A	N/A	inferiorparietal L	S_temporal_sup L	inferiorparietal L	N/A	N/A	N/A	inferiorparietal L	S_temporal_sup L	inferiorparietal L	N/A	N/A	N/A	inferiorparietal L	S_temporal_sup L	inferiorparietal L	N/A	N/A	N/A	inferiorparietal L	S_temporal_sup L	inferiorparietal L	N/A	N/A	N/A	inferiorparietal L	S_temporal_sup L	inferiorparietal L	N/A	N/A	N/A
I-PCC14	[-26.575,44.106,63.272]	[-45.153,-47.332,24.611]	[-48.396,-7.807,22.784]	Cortex L	59%	Inferior parietal L	57%	White L	40%	S_temporal_sup L	59%	inferiorparietal L	S_temporal_sup L	supramarginal L	N/A	N/A	N/A	inferiorparietal L	S_temporal_sup L	supramarginal L	N/A	N/A	N/A	inferiorparietal L	S_temporal_sup L	supramarginal L	N/A	N/A	N/A	inferiorparietal L	S_temporal_sup L	supramarginal L	N/A	N/A	N/A	inferiorparietal L	S_temporal_sup L	supramarginal L	N/A	N/A	N/A	inferiorparietal L	S_temporal_sup L	supramarginal L	N/A	N/A	N/A	inferiorparietal L	S_temporal_sup L	supramarginal L	N/A	N/A	N/A
I-PCC15	[-26.810,47.543,63.890]	[-48.695,-47.601,25.320]	[-51.817,-8.253,23.379]	White L	72%	White L	72%	White L	72%	White L	72%	inferiorparietal L	S_temporal_sup L	supramarginal L	N/A	N/A	N/A	inferiorparietal L	S_temporal_sup L	supramarginal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	supramarginal L	S_temporal_sup L	supramarginal L	N/A	N/A	N/A	supramarginal L	G_temp_sup-Plan_tempo L	supramarginal L	N/A	N/A	N/A
I-PCC16	[-27.045,50.980,64.507]	[-52.238,-47.870,26.029]	[-55.237,-8.700,23.974]	White L	70%	White L	70%	White L	70%	White L	70%	supramarginal L	G_temp_sup-Plan_tempo L	supramarginal L	N/A	N/A	N/A	supramarginal L	G_temp_sup-Plan_tempo L	supramarginal L	N/A	N/A	N/A	supramarginal L	G_temp_sup-Plan_tempo L	supramarginal L	N/A	N/A	N/A	supramarginal L	G_temp_sup-Plan_tempo L	supramarginal L	N/A	N/A	N/A	supramarginal L	G_temp_sup-Plan_tempo L	supramarginal L	N/A	N/A	N/A	supramarginal L	G_temp_sup-Plan_tempo L	supramarginal L	N/A	N/A	N/A	supramarginal L	G_temp_sup-Plan_tempo L	supramarginal L	N/A	N/A	N/A
J-ACC1	[38.235,-0.258,59.169]	[0.592,23.583,18.562]	[-5.935,57.992,30.052]	Cortex L	12%	Caudal ant cing L	12%	Caudal ant cing L	12%	CC_Anterior	10%	caudalanteriorcingulate L	S_pericallosal L	caudalanteriorcingulate L	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Mid-Ant L	caudalanteriorcingulate L	N/A	N/A	N/A	caudalanteriorcingulate L	S_pericallosal L	caudalanteriorcingulate L	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Mid-Ant L	caudalanteriorcingulate L	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Mid-Ant L	caudalanteriorcingulate L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
J-ACC2	[40.061,2.561,60.155]	[-2.311,25.571,19.646]	[-8.790,59.524,31.375]	Cortex L	67%	Caudal ant cing L	67%	Caudal ant cing L	67%	G_and_S_cingul-Mid-Ant L	31%	caudalanteriorcingulate L	G_and_S_cingul-Mid-Ant L	caudalanteriorcingulate L	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Mid-Ant L	caudalanteriorcingulate L	N/A	N/A	N/A	caudalanteriorcingulate L	S_pericallosal L	caudalanteriorcingulate L	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Mid-Ant L	caudalanteriorcingulate L	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Mid-Ant L	caudalanteriorcingulate L	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Mid-Ant L	caudalanteriorcingulate L	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Mid-Ant L	caudalanteriorcingulate L	N/A	N/A	N/A
J-ACC3	[41.886,5.380,61.141]	[-5.214,27.559,20.730]	[-11.645,61.056,32.698]	Cortex L	63%	Caudal ant cing L	63%	Caudal ant cing L	63%	G_and_S_cingul-Ant L	42%	caudalanteriorcingulate L	G_and_S_cingul-Ant L	caudalanteriorcingulate L	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Ant L	caudalanteriorcingulate L	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Ant L	caudalanteriorcingulate L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Ant L	caudalanteriorcingulate L	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Ant L	caudalanteriorcingulate L	N/A	N/A	N/A
J-ACC4	[43.711,8.199,62.127]	[-8.116,29.547,21.815]	[-14.501,62.588,34.021]	Cortex L	90%	Caudal ant cing L	63%	Caudal ant cing L	54%	G_and_S_cingul-Ant L	90%	caudalanteriorcingulate L	G_and_S_cingul-Ant L	caudalanteriorcingulate L	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Ant L	caudalanteriorcingulate L	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Ant L	superiorfrontal L	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Ant L	superiorfrontal L	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Ant L	superiorfrontal L	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Ant L	caudalanteriorcingulate L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
J-ACC5	[45.536,11.018,63.113]	[-11.019,31.535,22.899]	[-17.356,64.120,35.345]	Cortex L	88%	Superior frontal L	55%	Superior frontal L	80%	G_and_S_cingul-Ant L	88%	superiorfrontal L	G_and_S_cingul-Ant L	superiorfrontal L	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Ant L	superiorfrontal L	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Ant L	superiorfrontal L	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Ant L	superiorfrontal L	N/A	N/A	N/A	caudalanteriorcingulate L	G_and_S_cingul-Ant L	superiorfrontal L	N/A	N/A	N/A	superiorfrontal L	G_and_S_cingul-Ant L	superiorfrontal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
J-ACC6	[47.361,13.837,64.099]	[-13.922,33.523,23.983]	[-20.211,65.652,36.668]	White L	96%	White L	96%	White L	96%	White L	96%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	superiorfrontal L	G_and_S_cingul-Ant L	superiorfrontal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
J-ACC7	[49.187,16.656,65.085]	[-16.825,35.511,25.067]	[-23.066,67.184,37.991]	White L	99%	White L	99%	White L	99%	White L	99%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	superiorfrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	superiorfrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A
J-ACC8	[51.012,19.475,66.070]	[-19.727,37.499,26.151]	[-25.921,68.716,39.314]	Cortex L	65%	Superior frontal L	65%	Rostral mid front L	65%	S_front_middle L	46%	superiorfrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	superiorfrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	superiorfrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	superiorfrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	superiorfrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	superiorfrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	superiorfrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A
J-ACC9	[52.837,22.294,67.056]	[-22.630,39.487,27.236]	[-28.777,70.248,40.637]	Cortex L	52%	Rostral mid front L	33%	Rostral mid front L	48%	S_front_middle L	37%	rostralmiddlefrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	rostralmiddlefrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	superiorfrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	superiorfrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	superiorfrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	rostralmiddlefrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	rostralmiddlefrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A
J-ACC10	[54.662,25.113,68.042]	[-25.533,41.475,28.320]	[-31.632,71.780,41.960]	Cortex L	70%	Rostral mid front L	70%	Rostral mid front L	70%	S_front_middle L	35%	rostralmiddlefrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	rostralmiddlefrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	rostralmiddlefrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	rostralmiddlefrontal L	G_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	rostralmiddlefrontal L	G_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	rostralmiddlefrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	rostralmiddlefrontal L	S_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A
J-ACC11	[56.488,27.932,69.028]	[-28.436,43.463,29.404]	[-34.487,73.313,43.283]	Cortex L	56%	Rostral mid front L	56%	Rostral mid front L	56%	G_front_middle L	48%	rostralmiddlefrontal L	G_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	rostralmiddlefrontal L	G_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	rostralmiddlefrontal L	G_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	rostralmiddlefrontal L	G_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A
J-ACC12	[58.313,30.751,70.014]	[-31.338,45.451,30.488]	[-37.342,74.845,44.607]	Cortex L	71%	Rostral mid front L	71%	Rostral mid front L	71%	G_front_middle L	71%	rostralmiddlefrontal L	G_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	rostralmiddlefrontal L	G_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	rostralmiddlefrontal L	G_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	rostralmiddlefrontal L	G_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A	rostralmiddlefrontal L	G_front_middle L	rostralmiddlefrontal L	N/A	N/A	N/A
K-CMT1	[-2.660,9.703,45.228]	[-9.761,-21.295,3.556]	[-14.935,19.992,9.052]	Thalamus L	100%	Thalamus L	100%	Thalamus L	100%	Thalamus L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
K-CMT2	[-0.644,11.904,47.057]	[-12.021,-19.083,5.595]	[-17.166,21.578,11.233]	Thalamus L	100%	Thalamus L	100%	Thalamus L	100%	Thalamus L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
K-CMT3	[1.371,14.104,48.886]	[-14.281,-16.871,7.635]	[-19.396,23.165,13.414]	Thalamus L	99%	Thalamus L	99%	Thalamus L	99%	Thalamus L	99%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
K-CMT4	[3.387,16.305,50.714]	[-16.542,-14.659,9.675]	[-21.627,24.751,15.595]	White L	80%	White L	80%	White L	80%	White L	80%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
K-CMT5	[5.403,18.506,52.543]	[-18.802,-12.447,11.715]	[-23.858,26.337,17.777]	White L	100%	White L	100%	White L	100%	White L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
K-CMT6	[7.419,20.706,54.372]	[-21.062,-10.235,13.755]	[-26.089,27.923,19.958]	White L	94%	White L	94%	White L	94%	White L	94%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
K-CMT7	[9.434,22.907,56.201]	[-23.322,-8.023,15.794]	[-28.319,29.510,22.139]	White L	91%	White L	91%	White L	91%	White L	91%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
K-CMT8	[11.450,25.107,58.029]	[-25.582,-5.811,17.834]	[-30.550,31.096,24.320]	White L	100%	White L	100%	White L	100%	White L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
K-CMT9	[13.466,27.308,59.858]	[-27.842,-3.599,19.874]	[-32.781,32.682,26.501]	White L	100%	White L	100%	White L	100%	White L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
K-CMT10	[15.481,29.509,61.687]	[-30.103,-1.387,21.914]	[-35.012,34.269,28.682]	White L	100%	White L	100%	White L	100%	White L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
K-CMT11	[17.497,31.709,63.516]	[-32.363,0.825,23.954]	[-37.242,35.855,30.864]	White L	100%	White L	100%	White L	100%	White L	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
K-CMT12	[19.513,33.910,65.344]	[-34.623,3.038,25.994]	[-39.473,37.441,33.045]	White L	97%	White L	97%	White L	97%	White L	97%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	precentral L	S_precentral-inf-part L	precentral L	BA44_exvivo L	BA44_exvivo L	N/A	precentral L	S_precentral-inf-part L	precentral L	BA44_exvivo L	N/A	N/A
K-CMT13	[21.528,36.110,67.173]	[-36.883,5.250,28.033]	[-41.704,39.028,35.226]	White L	59%	White L	59%	White L	59%	White L	59%	precentral L	S_precentral-inf-part L	precentral L	BA44_exvivo L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	precentral L	S_precentral-inf-part L	precentral L	BA44_exvivo L	BA44_exvivo L	N/A	precentral L	S_precentral-inf-part L	precentral L	BA44_exvivo L	N/A	N/A
K-CMT14	[23.544,38.311,69.002]	[-39.143,7.462,30.073]	[-43.935,40.614,37.407]	Cortex L	66%	Precentral L	66%	Precentral L	66%	S_precentral-inf-part L	66%	precentral L	S_precentral-inf-part L	precentral L	BA44_exvivo L	BA44_exvivo L	N/A	precentral L	S_precentral-inf-part L	precentral L	BA6_exvivo L	N/A	N/A	precentral L	S_precentral-inf-part L	precentral L	BA44_exvivo L	BA44_exvivo L	N/A	precentral L	S_precentral-inf-part L	precentral L	BA44_exvivo L	N/A	N/A	precentral L	S_precentral-inf-part L	precentral L	BA44_exvivo L	N/A	N/A	precentral L	S_precentral-inf-part L	precentral L	BA6_exvivo L	BA44_exvivo L	N/A	precentral L	S_precentral-inf-part L	precentral L	BA6_exvivo L	N/A	N/A
M-r-preCe1	[-3.587,-36.946,70.209]	[38.501,-21.647,32.013]	[32.065,15.992,33.052]	White R	100%	White R	100%	White R	100%	White R	100%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	postcentral R	S_postcentral R	supramarginal R	BA2_exvivo R	N/A	N/A	postcentral R	S_postcentral R	supramarginal R	BA2_exvivo R	N/A	N/A
M-r-preCe2	[-3.802,-37.904,73.568]	[39.508,-21.825,35.843]	[33.076,15.206,36.309]	Cortex R	52%	White R	47%	Supramarginal R	52%	S_postcentral R	52%	postcentral R	S_postcentral R	supramarginal R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	S_postcentral R	supramarginal R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	S_postcentral R	supramarginal R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	S_postcentral R	supramarginal R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	S_postcentral R	supramarginal R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	S_postcentral R	supramarginal R	BA2_exvivo R	BA2_exvivo R	N/A	supramarginal R	S_postcentral R	supramarginal R	BA2_exvivo R	N/A	N/A
M-r-preCe3	[-4.016,-38.863,76.928]	[40.516,-22.004,39.672]	[34.087,14.420,39.567]	Cortex R	66%	Supramarginal R	49%	Supramarginal R	52%	S_postcentral R	66%	supramarginal R	S_postcentral R	supramarginal R	BA2_exvivo R	BA2_exvivo R	N/A	supramarginal R	S_postcentral R	supramarginal R	BA2_exvivo R	N/A	N/A	postcentral R	S_postcentral R	supramarginal R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	S_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	S_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	supramarginal R	S_postcentral R	supramarginal R	BA2_exvivo R	N/A	N/A	supramarginal R	S_postcentral R	supramarginal R	N/A	N/A	N/A
M-r-preCe4	[-4.230,-39.821,80.287]	[41.523,-22.182,43.502]	[35.098,13.633,42.824]	Cortex R	62%	Postcentral R	40%	Postcentral R	40%	S_postcentral R	62%	postcentral R	S_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	S_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	S_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	S_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	S_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	supramarginal R	S_postcentral R	supramarginal R	N/A	N/A	N/A	supramarginal R	S_postcentral R	supramarginal R	N/A	N/A	N/A
M-r-preCe5	[-4.444,-40.780,83.646]	[42.530,-22.360,47.331]	[36.109,12.847,46.081]	Cortex R	56%	Postcentral R	42%	Postcentral R	42%	S_postcentral R	55%	postcentral R	S_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	S_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	S_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	S_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	S_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	S_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	N/A	N/A	N/A	N/A	N/A	N/A
M-r-preCe6	[-4.658,-41.738,87.006]	[43.538,-22.538,51.161]	[37.119,12.061,49.338]	Cortex R	40%	Postcentral R	39%	Postcentral R	39%	G_postcentral R	30%	postcentral R	G_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	G_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	G_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	G_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	G_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	G_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	G_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A
M-r-preCe7	[-4.872,-42.697,90.365]	[44.545,-22.716,54.990]	[38.130,11.275,52.596]	Cortex R	46%	Postcentral R	46%	Postcentral R	46%	G_postcentral R	46%	postcentral R	G_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	G_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	G_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	G_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	G_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	G_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A	postcentral R	G_postcentral R	postcentral R	BA2_exvivo R	BA2_exvivo R	N/A
M-r-preCe8	[-5.086,-43.655,93.725]	[45.552,-22.894,58.820]	[39.141,10.488,55.853]	Cortex R	54%	Postcentral R	54%	Postcentral R	54%	G_postcentral R	54%	postcentral R	G_postcentral R	postcentral R	BA1_exvivo R	BA2_exvivo R	N/A	postcentral R	G_postcentral R	postcentral R	BA1_exvivo R	BA2_exvivo R	N/A	postcentral R	G_postcentral R	postcentral R	BA1_exvivo R	BA2_exvivo R	N/A	postcentral R	G_postcentral R	postcentral R	BA1_exvivo R	BA2_exvivo R	N/A	postcentral R	G_postcentral R	postcentral R	BA1_exvivo R	BA2_exvivo R	N/A	postcentral R	G_postcentral R	postcentral R	BA1_exvivo R	BA1_exvivo R	N/A	postcentral R	G_postcentral R	postcentral R	BA1_exvivo R	BA2_exvivo R	N/A
