edfchannel	other_name	ASEG	ASEG_prob	DKT	DKT_prob	AAL3 (MNI-linear)	AAL3 (MNI-linear)_prob
O6	L-OFC-Hua6	Cortex L	82%	Lateral orbitofrontal L	82%	OFCant L	80%
O7	L-OFC-Hua7	Cortex L	87%	Lateral orbitofrontal L	87%	OFCant L	75%
O8	L-OFC-Hua8	Cortex L	73%	Lateral orbitofrontal L	73%	OFCant L	73%
O9	L-OFC-Hua9	Cortex L	65%	Lateral orbitofrontal L	44%	OFCant L	54%
O10	L-OFC-Hua10	Cortex L	76%	Rostral mid front L	51%	Frontal_Inf_Orb_2 L	48%
O11	L-OFC-Hua11	Cortex L	61%	Rostral mid front L	42%	Frontal_Inf_Orb_2 L	70%
O12	L-OFC-Hua12	Cortex L	55%	Pars orbitalis L	33%	Frontal_Inf_Orb_2 L	77%
P1	L-Nac-Hua1	Cortex L	99%	Medial orbitofrontal L	98%	N_Acc L	38%
P2	L-Nac-Hua2	Cortex L	51%	Medial orbitofrontal L	51%	N_Acc L	80%
P3	L-Nac-Hua3	Accumbens L	88%	Accumbens L	88%	N_Acc L	63%
P4	L-Nac-Hua4	Accumbens L	61%	Accumbens L	61%	Caudate L	45%
P5	L-Nac-Hua5	Caudate L	99%	Caudate L	99%	Caudate L	53%
P6	L-Nac-Hua6	Caudate L	95%	Caudate L	95%	Caudate L	51%
P7	L-Nac-Hua7	Caudate L	84%	Caudate L	84%	Caudate L	71%
P8	L-Nac-Hua8	White L	60%	White L	60%	Caudate L	62%
P9	L-Nac-Hua9	White L	100%	White L	100%	Caudate L	14%
P10	L-Nac-Hua10	White L	100%	White L	100%		
P11	L-Nac-Hua11	White L	100%	White L	100%	Insula L	14%
P12	L-Nac-Hua12	White L	100%	White L	100%		
P13	L-Nac-Hua13	White L	100%	White L	100%	Frontal_Mid_2 L	1%
P14	L-Nac-Hua14	White L	95%	White L	95%	Frontal_Inf_Tri L	35%
P15	L-Nac-Hua15	White L	54%	White L	54%	Frontal_Inf_Tri L	51%
P16	L-Nac-Hua16	Cortex L	56%	Rostral mid front L	56%	Frontal_Mid_2 L	83%
Q1	L-BNST-Hua1	Cortex L	38%	BNST L	38%		
Q2	L-BNST-Hua2	White L	81%	BNST L	81%		
Q3	L-BNST-Hua3	White L	85%	BNST L	85%	Pallidum L	10%
Q4	L-BNST-Hua4	White L	74%	valic or vcvs L	74%	Pallidum L	31%
Q5	L-BNST-Hua5	White L	90%	valic or vcvs L	90%	Pallidum L	19%
Q6	L-BNST-Hua6	White L	96%	valic or vcvs L	96%	Caudate L	20%
Q7	L-BNST-Hua7	White L	84%	valic or vcvs L	84%	Caudate L	34%
Q8	L-BNST-Hua8	White L	95%	valic or vcvs L	95%	Putamen L	44%
Q9	L-BNST-Hua9	White L	100%	White L	100%	Putamen L	5%
