subject,onset,valence,event_type
sub-cs48,273.04,neutral,event_boundary
sub-cs48,277.28,neutral,event_boundary
sub-cs48,281.28,neutral,event_boundary
sub-cs48,284.56,neutral,event_boundary
sub-cs48,288.76,neutral,event_boundary
sub-cs48,291.44,neutral,event_boundary
sub-cs48,307.88,neutral,event_boundary
sub-cs48,314.48,neutral,event_boundary
sub-cs48,328.52,neutral,event_boundary
sub-cs48,340.76,neutral,event_boundary
sub-cs48,346.2,neutral,event_boundary
sub-cs48,350.0,neutral,event_boundary
sub-cs48,357.84,neutral,event_boundary
sub-cs48,360.0,neutral,event_boundary
sub-cs48,362.56,neutral,event_boundary
sub-cs48,364.92,neutral,event_boundary
sub-cs48,367.76,neutral,event_boundary
sub-cs48,369.44,neutral,event_boundary
sub-cs48,371.64,neutral,event_boundary
sub-cs48,389.64,neutral,event_boundary
sub-cs48,407.88,neutral,event_boundary
sub-cs48,409.72,neutral,event_boundary
sub-cs48,419.04,neutral,event_boundary
sub-cs48,420.24,neutral,event_boundary
sub-cs48,424.36,neutral,event_boundary
sub-cs48,427.64,neutral,event_boundary
sub-cs48,428.72,neutral,event_boundary
sub-cs48,431.52,neutral,event_boundary
sub-cs48,433.48,neutral,event_boundary
sub-cs48,435.0,neutral,event_boundary
sub-cs48,437.52,neutral,event_boundary
sub-cs48,439.6,neutral,event_boundary
sub-cs48,442.28,neutral,event_boundary
sub-cs48,445.24,neutral,event_boundary
sub-cs48,450.04,neutral,event_boundary
sub-cs48,451.4,neutral,event_boundary
sub-cs48,453.04,neutral,event_boundary
sub-cs48,453.88,neutral,event_boundary
sub-cs48,456.44,neutral,event_boundary
sub-cs48,456.96,neutral,event_boundary
sub-cs48,459.32,neutral,event_boundary
sub-cs48,475.44,neutral,event_boundary
sub-cs49,0.0,neutral,event_boundary
sub-cs49,4.72,neutral,event_boundary
sub-cs49,15.0,neutral,event_boundary
sub-cs49,16.72,neutral,event_boundary
sub-cs49,19.08,neutral,event_boundary
sub-cs49,21.72,neutral,event_boundary
sub-cs49,25.08,neutral,event_boundary
sub-cs49,27.08,neutral,event_boundary
sub-cs49,37.64,neutral,event_boundary
sub-cs49,46.16,neutral,event_boundary
sub-cs49,66.28,neutral,event_boundary
sub-cs49,66.8,neutral,event_boundary
sub-cs49,90.16,neutral,event_boundary
sub-cs49,92.72,neutral,event_boundary
sub-cs49,94.88,neutral,event_boundary
sub-cs49,99.32,neutral,event_boundary
sub-cs49,103.64,neutral,event_boundary
sub-cs49,108.28,neutral,event_boundary
sub-cs49,113.44,neutral,event_boundary
sub-cs49,115.0,neutral,event_boundary
sub-cs49,117.96,neutral,event_boundary
sub-cs49,120.0,neutral,event_boundary
sub-cs49,121.88,neutral,event_boundary
sub-cs49,126.52,neutral,event_boundary
sub-cs49,129.2,neutral,event_boundary
sub-cs49,137.56,neutral,event_boundary
sub-cs49,140.36,neutral,event_boundary
sub-cs49,143.36,neutral,event_boundary
sub-cs49,145.24,neutral,event_boundary
sub-cs49,147.88,neutral,event_boundary
sub-cs49,149.4,neutral,event_boundary
sub-cs49,150.76,neutral,event_boundary
sub-cs49,153.4,neutral,event_boundary
sub-cs49,153.92,neutral,event_boundary
sub-cs49,159.08,neutral,event_boundary
sub-cs49,161.16,neutral,event_boundary
sub-cs49,163.08,neutral,event_boundary
sub-cs49,167.28,neutral,event_boundary
sub-cs49,169.04,neutral,event_boundary
sub-cs49,170.68,neutral,event_boundary
sub-cs49,171.84,neutral,event_boundary
sub-cs49,173.48,neutral,event_boundary
sub-cs49,184.92,neutral,event_boundary
sub-cs49,211.6,neutral,event_boundary
sub-cs49,217.48,neutral,event_boundary
sub-cs49,254.24,neutral,event_boundary
sub-cs49,256.12,neutral,event_boundary
sub-cs49,261.6,neutral,event_boundary
sub-cs49,264.84,neutral,event_boundary
sub-cs49,266.68,neutral,event_boundary
sub-cs49,269.24,neutral,event_boundary
sub-cs49,273.04,neutral,event_boundary
sub-cs49,277.28,neutral,event_boundary
sub-cs49,281.28,neutral,event_boundary
sub-cs49,284.56,neutral,event_boundary
sub-cs49,288.76,neutral,event_boundary
sub-cs49,291.44,neutral,event_boundary
sub-cs49,307.88,neutral,event_boundary
sub-cs49,314.48,neutral,event_boundary
sub-cs49,328.52,neutral,event_boundary
sub-cs49,340.76,neutral,event_boundary
sub-cs49,346.2,neutral,event_boundary
sub-cs49,350.0,neutral,event_boundary
sub-cs49,357.84,neutral,event_boundary
sub-cs49,360.0,neutral,event_boundary
sub-cs49,362.56,neutral,event_boundary
sub-cs49,364.92,neutral,event_boundary
sub-cs49,367.76,neutral,event_boundary
sub-cs49,369.44,neutral,event_boundary
sub-cs49,371.64,neutral,event_boundary
sub-cs49,389.64,neutral,event_boundary
sub-cs49,407.88,neutral,event_boundary
sub-cs49,409.72,neutral,event_boundary
sub-cs49,419.04,neutral,event_boundary
sub-cs49,420.24,neutral,event_boundary
sub-cs49,424.36,neutral,event_boundary
sub-cs49,427.64,neutral,event_boundary
sub-cs49,428.72,neutral,event_boundary
sub-cs49,431.52,neutral,event_boundary
sub-cs49,433.48,neutral,event_boundary
sub-cs49,435.0,neutral,event_boundary
sub-cs49,437.52,neutral,event_boundary
sub-cs49,439.6,neutral,event_boundary
sub-cs49,442.28,neutral,event_boundary
sub-cs49,445.24,neutral,event_boundary
sub-cs49,450.04,neutral,event_boundary
sub-cs49,451.4,neutral,event_boundary
sub-cs49,453.04,neutral,event_boundary
sub-cs49,453.88,neutral,event_boundary
sub-cs49,456.44,neutral,event_boundary
sub-cs49,456.96,neutral,event_boundary
sub-cs49,459.32,neutral,event_boundary
sub-cs49,475.44,neutral,event_boundary
sub-cs51,0.0,neutral,event_boundary
sub-cs51,4.72,neutral,event_boundary
sub-cs51,15.0,neutral,event_boundary
sub-cs51,16.72,neutral,event_boundary
sub-cs51,19.08,neutral,event_boundary
sub-cs51,21.72,neutral,event_boundary
sub-cs51,25.08,neutral,event_boundary
sub-cs51,27.08,neutral,event_boundary
sub-cs51,37.64,neutral,event_boundary
sub-cs51,46.16,neutral,event_boundary
sub-cs51,66.28,neutral,event_boundary
sub-cs51,66.8,neutral,event_boundary
sub-cs51,90.16,neutral,event_boundary
